pid,eid,pname,subject,date,number,rl,neuropixel,t0,i_snippet,n_snippets,passive
92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,NR_0021,2022-06-23,3,4589.531966666666,3B2,4400.0,7,8,False
82a42cdf-3140-427b-8ad0-0d504716c871,266a0360-ea0a-4580-8f6a-fe5bad9ed17c,probe00,NYU-11,2020-02-20,1,3963.152433333333,3B2,200.0,0,7,False
82a42cdf-3140-427b-8ad0-0d504716c871,266a0360-ea0a-4580-8f6a-fe5bad9ed17c,probe00,NYU-11,2020-02-20,1,3963.152433333333,3B2,800.0,1,7,False
82a42cdf-3140-427b-8ad0-0d504716c871,266a0360-ea0a-4580-8f6a-fe5bad9ed17c,probe00,NYU-11,2020-02-20,1,3963.152433333333,3B2,1400.0,2,7,False
82a42cdf-3140-427b-8ad0-0d504716c871,266a0360-ea0a-4580-8f6a-fe5bad9ed17c,probe00,NYU-11,2020-02-20,1,3963.152433333333,3B2,2000.0,3,7,False
82a42cdf-3140-427b-8ad0-0d504716c871,266a0360-ea0a-4580-8f6a-fe5bad9ed17c,probe00,NYU-11,2020-02-20,1,3963.152433333333,3B2,2600.0,4,7,False
82a42cdf-3140-427b-8ad0-0d504716c871,266a0360-ea0a-4580-8f6a-fe5bad9ed17c,probe00,NYU-11,2020-02-20,1,3963.152433333333,3B2,3200.0,5,7,False
82a42cdf-3140-427b-8ad0-0d504716c871,266a0360-ea0a-4580-8f6a-fe5bad9ed17c,probe00,NYU-11,2020-02-20,1,3963.152433333333,3B2,3800.0,6,7,False
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,200.0,0,11,False
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,800.0,1,11,False
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,1400.0,2,11,False
